"id","rt_congruent","rt_incongruent","error_congruent","error_incongruent","sie"
1001,852.055208333333,1099.52083333333,0,0.0520833333333333,247.465624999997
1002,760.825,1151.84583333333,0.0104166666666667,0.0625,391.02083333333
1003,1118.69166666667,1181.66770833333,0.0208333333333333,0.0208333333333333,62.97604166666
1004,774.645833333333,788.322916666667,0.0208333333333333,0.0833333333333333,13.6770833333339
10362933,911.076041666667,1083.98229166667,0,0.0729166666666667,172.906250000003
10370387,973.005208333333,1270.30729166667,0.0208333333333333,0.03125,297.302083333337
1101,899.347916666667,982.797916666667,0.0208333333333333,0,83.45
1102,894.972916666667,1102.08854166667,0,0.03125,207.115625000003
1104,808.473958333333,1079.003125,0,0.0520833333333333,270.529166666667
1301,851.467708333333,961.941666666667,0,0.0208333333333333,110.473958333334
1303,677.197916666667,825.84375,0.0416666666666667,0.145833333333333,148.645833333333
1402,909.945833333333,1331.15625,0.0208333333333333,0.03125,421.210416666667
1404,691.816666666667,750.708333333333,0.0833333333333333,0.0520833333333333,58.8916666666661
1405,631.971875,652.704166666667,0.0520833333333333,0.0833333333333333,20.732291666667
1501,975.941666666667,1182.74375,0.0208333333333333,0.104166666666667,206.802083333333
1502,850.40625,959.254166666667,0.0416666666666667,0.0625,108.847916666667
1503,869.923958333333,1173.6625,0.0208333333333333,0.125,303.738541666667
1504,1057.88229166667,1347.46354166667,0.03125,0.0833333333333333,289.58125
1703,785.777083333333,989.492708333333,0.03125,0.09375,203.715625
1704,949.344791666667,1246.453125,0.0416666666666667,0.21875,297.108333333333
1802,665.354166666667,820.540625,0.114583333333333,0.177083333333333,155.186458333333
1803,905.54375,1196.88854166667,0.0208333333333333,0.0729166666666667,291.34479166667
1804,891.75,839.270833333333,0.0416666666666667,1,-52.479166666667
1902,652.708333333333,788.541666666667,0.0416666666666667,0.15625,135.833333333334
1903,702.413541666667,779.257291666667,0.0208333333333333,0.03125,76.84375
1904,993.388541666667,1112.91145833333,0.0104166666666667,0.0104166666666667,119.522916666663
1905,932.364583333333,989.145833333333,0.0520833333333333,0.989583333333333,56.78125
20269796,766.585416666667,923.451041666667,0,0.03125,156.865625
30367485,769.754166666667,856.159375,0.0416666666666667,0.104166666666667,86.405208333333
30367966,695.151041666667,859.079166666667,0.03125,0.0729166666666667,163.928125
30373052,673.328125,810.870833333333,0,0.03125,137.542708333333
30373400,763.360416666667,864.611458333333,0.0520833333333333,0.03125,101.251041666666
30373511,999.711458333333,1274.58125,0.15625,0.916666666666667,274.869791666667
30373683,786.314583333333,961.607291666667,0,0.0520833333333333,175.292708333334
30383701,627.75625,695.863541666667,0.0416666666666667,0.0416666666666667,68.1072916666669
50440843,616.3,697.344791666667,0.0416666666666667,0.0520833333333333,81.044791666667
50446251,695.473958333333,849.772916666667,0.0416666666666667,0.0677083333333333,154.298958333334
50446261,698.985416666667,789.322916666667,0.0208333333333333,1,90.3375
50446612,922.197916666667,1001.07291666667,0.0104166666666667,0.09375,78.8750000000031
50451542,739.850572916667,1050.63369791667,0,0.0416666666666667,310.783125000003
50451808,608.416666666667,688.614583333333,0.0520833333333333,0.0625,80.1979166666661
50459376,764.758333333333,1023.603125,0.0104166666666667,0.0520833333333333,258.844791666667
